,rank,page,each_page_rank,keword,PC_search,Mobile_search,productId,title,lowPrice,highPrice,mallName,productGroup,productType,brand,maker,category1,category2,category3,category4,image
69,69,2,30,초파리싹,240,930,82711239054,홈키파 초파리싹 290ml 헨켈 스프레이 천연 벌레 퇴치제 날파리 혹파리,6730,0,대신코리아,일반상품,가격비교 비매칭 일반상품,헨켈,헨켈,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8271123/82711239054.jpg
70,70,2,31,초파리싹,240,930,82503251935,홈키파 초파리싹 날파리퇴치제 천연 살충제 290ml,8300,0,다온월드,일반상품,가격비교 비매칭 일반상품,,헨켈,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8250325/82503251935.2.jpg
71,71,2,32,초파리싹,240,930,24478005427,헨켈홈케어 홈키파초파리싹 290ml 1EA,9450,0,인터파크,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2447800/24478005427.jpg
72,72,2,33,초파리싹,240,930,24474244648,홈키파 초파리싹 스프레이 해충차단 날파리 벌레퇴치제,8460,0,11번가,일반상품,가격비교 비매칭 일반상품,헨켈,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2447424/24474244648.jpg
73,73,2,34,초파리싹,240,930,24474827735,홈키파 초파리싹 스프레이 해충차단 날파리 벌레퇴치제,8370,0,11번가,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2447482/24474827735.jpg
74,74,2,35,초파리싹,240,930,82602457841,초파리퇴치스프레이 홈키파초파리싹290ml 천연해충퇴치제,7300,0,조호호몰,일반상품,가격비교 비매칭 일반상품,,헨켈,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8260245/82602457841.2.jpg
75,75,2,36,초파리싹,240,930,82599258143,홈키파 초파리싹 290ml 헨켈 스프레이 천연 벌레 퇴치제 날파리 혹파리,7050,0,대박보물섬,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8259925/82599258143.2.jpg
76,76,2,37,초파리싹,240,930,82141222363,홈키파 초파리싹 290ml 초파리제로 스프레이 천연 벌레퇴치제 날파리,6900,0,선녀와 농부의 시골살이,일반상품,가격비교 비매칭 일반상품,헨켈,헨켈,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8214122/82141222363.4.jpg
77,77,2,38,초파리싹,240,930,82708365782,홈키파 초파리싹 290ml 헨켈 스프레이 천연 벌레 퇴치제 날파리 혹파리,4770,0,굿오퍼코리아,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8270836/82708365782.jpg
78,78,2,39,초파리싹,240,930,24465476115,홈키파 초파리싹 290ml 헨켈 스프레이 천연 벌레퇴치,7480,0,옥션,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2446547/24465476115.jpg
79,79,2,40,초파리싹,240,930,82568031587,홈키파 초파리싹 290ml,7430,0,러빙데코,일반상품,가격비교 비매칭 일반상품,헨켈,헨켈,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8256803/82568031587.1.jpg
80,80,3,1,초파리싹,240,930,24460478834,홈키파 초파리싹 스프레이 해충차단 날파리 벌레퇴치,8940,0,인터파크,일반상품,가격비교 비매칭 일반상품,,헨켈,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2446047/24460478834.jpg
81,81,3,2,초파리싹,240,930,82167392874,홈키파 초파리싹 290ml 헨켈 스프레이 천연 벌레 퇴치제 날파리 혹파리 ,6730,0,마이올 코리아,일반상품,가격비교 비매칭 일반상품,헨켈,헨켈,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8216739/82167392874.3.jpg
