,rank,page,each_page_rank,keword,PC_search,Mobile_search,productId,title,lowPrice,highPrice,mallName,productGroup,productType,brand,maker,category1,category2,category3,category4,image
65,65,2,26,초파리퇴치법,1650,13900,19504807422,일양약품 초파리트랩 천연초파리트랩 초파리퇴치법 초,5420,0,인터파크,일반상품,가격비교 비매칭 일반상품,,일양약품,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_1950480/19504807422.jpg
66,66,2,27,초파리퇴치법,1650,13900,20933210796,일양약품 초파리트랩 천연초파리트랩 초파리퇴치법 초,4510,0,11번가,일반상품,가격비교 비매칭 일반상품,일양약품,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2093321/20933210796.jpg
67,67,2,28,초파리퇴치법,1650,13900,82627911264,초파리 나방 모기 파리 해충 없애는법 날파리 벌레 퇴치기 퇴치법 초파리트랩 초파리퇴치법,14000,0,라라생활연구소,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8262791/82627911264.jpg
68,68,2,29,초파리퇴치법,1650,13900,24358275206,일양약품 일양약품 초파리트랩 천연초파리트랩 초파리퇴치법 초,5260,0,옥션,일반상품,가격비교 비매칭 일반상품,일양약품,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2435827/24358275206.jpg
69,69,2,30,초파리퇴치법,1650,13900,24285162692,파리잡는총 파리잡는법 날파리퇴치법 초파리퇴치법,32500,0,G마켓,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2428516/24285162692.jpg
70,70,2,31,초파리퇴치법,1650,13900,24140989742,일양약품 일양약품 초파리트랩 천연초파리트랩 초파리퇴치법 초,6310,0,옥션,일반상품,가격비교 비매칭 일반상품,일양약품,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2414098/24140989742.jpg
71,71,2,32,초파리퇴치법,1650,13900,22510122058,일양약품 일양약품 초파리트랩 천연초파리트랩 초파리퇴치법 초,7300,0,옥션,일반상품,가격비교 비매칭 일반상품,일양약품,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2251012/22510122058.jpg
72,72,2,33,초파리퇴치법,1650,13900,82554877709,초파리퇴치법 날파리퇴치법 해피홈 초파리제로스프레이 가정용퇴치법,8600,0,꿈과나무,일반상품,가격비교 비매칭 일반상품,해피홈,유한양행,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8255487/82554877709.jpg
73,73,2,34,초파리퇴치법,1650,13900,20268184194,일양약품 일양약품 초파리트랩 천연초파리트랩 초파리퇴치법 초,5580,0,G마켓,일반상품,가격비교 비매칭 일반상품,일양약품,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2026818/20268184194.jpg
74,74,2,35,초파리퇴치법,1650,13900,22590319889,bug-a-buster 파리잡는총 파리잡는법 날파리퇴치법 초파리퇴치법,32500,0,쿠팡,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2259031/22590319889.jpg
